Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Gary S\xc3\xa1nchez,30,0,Maj-NL,"New York,San Diego",51,180,160,24,34,6,0,12,32,17,0,41,1,0,2,2,0,0,0.213,0.289,0.475,0.764,596142
Jes\xc3\xbas S\xc3\xa1nchez,25,1,Maj-NL,Miami,74,238,218,26,56,16,0,10,35,19,1,64,1,0,0,8,3,1,0.257,0.319,0.468,0.787,660821
Carlos Santana,37,0,Maj-NL,"Milwaukee,Pittsburgh",96,402,352,46,82,25,0,13,54,47,0,70,0,0,3,3,6,0,0.233,0.321,0.415,0.736,467793
Anthony Santander,28,0,Maj-AL,Baltimore,101,433,387,53,99,27,1,18,58,39,1,98,4,0,3,5,3,1,0.256,0.328,0.47,0.798,623993
Josh Sborz,29,99,Maj-AL,Texas,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,622250
Casey Schmitt,24,0,Maj-NL,San Francisco,65,214,197,21,41,11,0,2,25,10,0,50,5,0,2,6,2,1,0.208,0.262,0.294,0.556,669477
Jonathan Schoop,31,24,Maj-AL,Detroit,55,151,136,15,29,8,0,0,7,13,0,37,0,0,2,6,0,0,0.213,0.278,0.272,0.55,570731
Kyle Schwarber,30,0,Maj-NL,Philadelphia,105,468,387,61,71,13,1,27,65,75,4,139,4,0,2,3,0,2,0.184,0.321,0.432,0.752,656941
Corey Seager,29,9,Maj-AL,Texas,66,298,263,47,92,29,0,15,58,30,2,52,1,0,4,4,1,1,0.35,0.413,0.631,1.044,608369
Jean Segura,33,0,Maj-NL,Miami,84,322,297,25,66,5,2,3,21,22,1,47,2,1,0,12,6,2,0.222,0.28,0.283,0.563,516416
Marcus Semien,32,0,Maj-AL,Texas,106,495,441,83,121,27,2,15,66,46,1,66,2,0,5,2,9,2,0.274,0.342,0.447,0.789,543760
Nick Senzel,28,1,Maj-NL,Cincinnati,72,239,213,32,49,8,0,8,36,23,0,52,1,0,2,6,5,2,0.23,0.305,0.38,0.686,669222
Brian Serven,28,46,Maj-NL,Colorado,11,23,23,0,3,1,0,0,1,0,0,10,0,0,0,0,0,0,0.13,0.13,0.174,0.304,661531
Gavin Sheets,27,0,Maj-AL,Chicago,77,224,200,17,43,4,0,8,26,21,2,41,1,0,2,3,0,0,0.215,0.29,0.355,0.645,657757
Braden Shewmake,25,85,Maj-NL,Atlanta,2,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,669699
Zack Short,28,0,Maj-AL,Detroit,70,167,150,12,33,6,0,5,23,16,0,41,0,0,1,1,1,0,0.22,0.293,0.36,0.653,670097
Jon Singleton,31,46,Maj-NL,Milwaukee,11,32,29,3,3,1,0,0,2,3,0,11,0,0,0,0,0,0,0.103,0.188,0.138,0.325,572138
Jose Siri,27,0,Maj-AL,Tampa Bay,69,254,235,40,53,8,1,20,42,15,0,90,0,1,3,3,7,2,0.226,0.269,0.523,0.792,642350
Austin Slater,30,0,Maj-NL,San Francisco,46,123,111,15,32,3,0,5,17,11,0,32,1,0,0,0,2,2,0.288,0.358,0.451,0.808,596103
Dominic Smith,28,0,Maj-NL,Washington,102,406,366,38,97,13,1,5,30,30,0,62,9,0,1,10,0,0,0.265,0.335,0.347,0.682,642086
Josh H. Smith,25,1,Maj-AL,Texas,58,146,120,24,26,4,0,4,7,16,0,39,8,2,0,2,1,0,0.217,0.347,0.35,0.697,669701
Kevin Smith,26,45,Maj-AL,Oakland,34,102,94,11,18,1,0,4,8,3,0,34,0,5,0,2,1,0,0.192,0.217,0.33,0.546,675656
Pavin Smith,27,31,Maj-NL,Arizona,60,217,184,26,35,5,0,7,30,32,0,43,0,0,0,2,1,1,0.19,0.31,0.332,0.642,656976
Will Smith,28,0,Maj-NL,Los Angeles,80,348,287,52,80,15,1,13,52,48,0,50,7,0,6,5,1,0,0.279,0.388,0.474,0.862,669257
Canaan Smith-Njigba,24,51,Maj-NL,Pittsburgh,15,37,32,3,4,1,1,0,5,4,0,16,0,0,1,1,1,0,0.125,0.216,0.219,0.435,675986
Tyler Soderstrom,21,0,Maj-AL,Oakland,12,43,38,1,8,0,0,0,2,5,0,13,0,0,0,5,0,0,0.211,0.302,0.211,0.513,691016
Nick Solak,28,50,"Maj-AL,Maj-NL","Atlanta,Detroit",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,669256
Donovan Solano,35,0,Maj-AL,Minnesota,93,292,250,26,66,20,0,4,23,33,1,67,8,0,1,5,0,0,0.264,0.366,0.392,0.758,456781
Jorge Soler,31,1,Maj-NL,Miami,101,426,371,56,89,19,0,24,54,47,2,105,5,0,3,14,1,0,0.24,0.331,0.485,0.816,624585
Edmundo Sosa,27,0,Maj-NL,Philadelphia,73,207,196,23,49,10,1,7,21,5,0,49,3,1,1,7,2,2,0.25,0.278,0.418,0.696,624641
Lenyn Sosa,23,80,Maj-AL,Chicago,22,70,68,4,9,3,0,1,3,1,0,16,0,1,0,0,0,0,0.132,0.145,0.221,0.366,672820
Juan Soto,24,0,Maj-NL,San Diego,106,464,362,59,97,25,0,20,64,97,8,93,1,0,4,8,6,3,0.268,0.42,0.503,0.923,665742
Livan Soto,23,57,Maj-AL,Los Angeles,4,12,9,2,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0.222,0.417,0.222,0.639,670869
George Springer,33,0,Maj-AL,Toronto,102,448,406,56,101,14,1,13,41,36,0,78,5,0,1,16,13,4,0.249,0.317,0.384,0.701,543807
Jacob Stallings,33,1,Maj-NL,Miami,52,169,146,13,30,7,0,1,12,16,0,44,3,2,2,3,0,0,0.206,0.293,0.274,0.567,607732
Giancarlo Stanton,33,0,Maj-AL,New York,55,226,203,26,41,7,0,14,35,20,3,54,2,0,1,5,0,0,0.202,0.279,0.443,0.722,519317
